"Emp ID","Name","DOB","SSN","State"
"462","Rachel Bell","24/07/1989","***-**-1379","Alabama"
"87","Amber Williamson","20/06/1984","***-**-4567","Louisiana"
"26","Tony Park","08/10/1968","***-**-7749","Utah"
"553","Robert Jefferson","04/10/1981","***-**-6302","Ohio"
"151","Sarah Hernandez","05/07/1987","***-**-5549","Wyoming"
"523","Margaret Foley","19/12/1968","***-**-4633","California"
"434","Tina Christensen","01/03/1988","***-**-0333","Tennessee"
"1","Isaac Gomez","16/10/1987","***-**-4728","Wyoming"
"365","Phillip Davis","24/04/1961","***-**-5132","Vermont"
"230","Brian Douglas","18/09/1979","***-**-9324","Nevada"
"357","Teresa Wilson","12/08/1994","***-**-9378","Indiana"
"142","Timothy Wilson","21/11/1993","***-**-1270","West Virginia"
"606","Lori Davies","21/08/1980","***-**-9489","Alaska"
"129","Brittany Stone","21/11/1985","***-**-0950","Colorado"
"34","Matthew Rogers","09/03/1974","***-**-2560","California"
"190","Francisco Gardner","18/08/1972","***-**-0367","Wisconsin"
"259","Ashley Patrick","06/12/1979","***-**-7953","Oregon"
"471","Brandi Frey","23/07/1979","***-**-2997","Maryland"
"362","Garrett Kelley","20/12/1974","***-**-1192","Pennsylvania"
"620","Robert Barron","19/04/1985","***-**-0735","Nebraska"
"299","Lee Serrano","19/06/1967","***-**-0867","West Virginia"
"213","Jessica Vance","30/04/1959","***-**-9076","Delaware"
"427","Russell Ashley","15/02/1973","***-**-2395","Ohio"
"105","Catherine Richardson","03/10/1989","***-**-2969","Wyoming"
"260","Sheri Hamilton","12/03/1986","***-**-9319","New Hampshire"
"547","Craig Strickland","27/02/1968","***-**-3498","North Dakota"
"28","Brandon Hall","30/09/1969","***-**-6416","Alaska"
"486","Karla Adams","18/11/1962","***-**-7524","Vermont"
"300","Ernest Washington","15/07/1990","***-**-9800","Florida"
"501","John Owens","15/05/1989","***-**-7554","Montana"
"584","Roberto Farmer","04/05/1968","***-**-3936","Louisiana"
"453","Tom Bailey","24/01/1980","***-**-1663","Iowa"
"16","Jennifer White","17/01/1966","***-**-1698","Michigan"
"185","Courtney Mendez","25/11/1961","***-**-8268","Nebraska"
"223","Jasmine Miller","13/05/1971","***-**-2427","Maryland"
"290","Amy Bryan","24/06/1969","***-**-2636","California"
"71","Melvin Pruitt","06/05/1994","***-**-4970","Alaska"
"73","Amanda Carrillo","25/10/1957","***-**-8942","Mississippi"
"549","Anthony Nguyen","10/03/1987","***-**-6484","North Dakota"
"359","Kaitlyn Charles","23/11/1965","***-**-7712","New Hampshire"
"631","Rebecca Pollard","17/03/1977","***-**-9010","Florida"
"585","James Jackson","02/09/1987","***-**-8491","Maine"
"641","Gina Jones","05/02/1964","***-**-3596","Hawaii"
"564","Tyler Woodward","06/05/1983","***-**-7298","Kansas"
"149","Hannah Schultz","28/12/1984","***-**-7228","New York"
"430","Anthony Sims","20/04/1976","***-**-1311","Connecticut"
"587","Jessica Wallace","02/05/1981","***-**-7152","Wisconsin"
"420","Jonathan Pearson","03/01/1980","***-**-7840","Vermont"
"625","Richard Hunt","17/09/1987","***-**-9513","Indiana"
"319","Madison Ballard","11/03/1966","***-**-3750","Delaware"
"18","Kathryn Blair","07/08/1993","***-**-8028","Georgia"
"535","Kristina Patterson","28/03/1958","***-**-5885","Connecticut"
"417","Kathryn Bryant","09/04/1957","***-**-8017","Colorado"
"391","Jerry Ayala","02/03/1982","***-**-9737","Washington"
"274","Karen Rodriguez","30/07/1994","***-**-3813","Connecticut"
"270","Daniel Jacobs","24/04/1972","***-**-6724","Texas"
"537","Stephanie Campbell","30/08/1968","***-**-3547","Tennessee"
"341","Michael Pacheco","29/04/1977","***-**-6378","Louisiana"
"402","Steven Garcia","01/04/1991","***-**-9437","Montana"
"476","Brenda Hall","15/07/1957","***-**-7869","Texas"
"367","Rhonda Smith","27/06/1969","***-**-5595","Maine"
"407","Tracy Francis","26/01/1960","***-**-8950","Vermont"
"280","Dawn Fernandez","14/04/1981","***-**-9216","Nebraska"
"524","Matthew Wells","29/08/1958","***-**-2780","Florida"
"57","Joel Walker","20/09/1979","***-**-6637","Florida"
"312","Paula Shea","15/08/1978","***-**-1746","Ohio"
"649","Paul Bell","23/05/1976","***-**-7411","Wisconsin"
"488","Frederick Roberson","02/01/1978","***-**-0114","Michigan"
"139","Melissa Armstrong","17/03/1959","***-**-9454","Oregon"
"412","Jennifer Alexander","15/01/1969","***-**-9026","Alaska"
"5","Cassandra Perez","02/09/1986","***-**-1151","Illinois"
"153","Anthony Austin","17/12/1965","***-**-9162","Wisconsin"
"321","Cynthia Jones","11/08/1976","***-**-3428","Rhode Island"
"541","Oscar Bernard","07/04/1990","***-**-5243","Illinois"
"406","Amanda Hendrix","19/11/1980","***-**-7721","Arkansas"
"204","Vincent Henry","22/08/1961","***-**-5624","Utah"
"567","Lauren Bush","19/12/1976","***-**-3299","Georgia"
"187","Stacey Bates","17/06/1961","***-**-1470","California"
"460","Amanda Khan","16/04/1971","***-**-9388","Nebraska"
"212","Amanda Sutton","07/12/1973","***-**-2368","Arkansas"
"617","Joshua Li","20/03/1992","***-**-6050","Idaho"
"353","Becky Kennedy","05/04/1987","***-**-4807","Michigan"
"383","Laura Espinoza","04/09/1978","***-**-5712","Florida"
"91","Joshua Murphy","31/12/1970","***-**-7318","Wisconsin"
"429","Randall Bowen","11/04/1969","***-**-0666","Texas"
"40","Michelle Pham","31/07/1979","***-**-2595","South Carolina"
"298","Emily Thomas","10/07/1974","***-**-6906","Rhode Island"
"400","Jessica Kelley","15/12/1976","***-**-4271","Kentucky"
"480","Jeffrey Brown","23/12/1968","***-**-7392","Washington"
"375","Jennifer Keith","24/11/1990","***-**-2614","Arkansas"
"626","Joshua Romero","14/10/1979","***-**-4169","New Mexico"
"97","Frank Walker","13/12/1976","***-**-5611","Arizona"
"291","Cody Lindsey","29/01/1965","***-**-8099","Alabama"
"614","Cody Baker","09/03/1979","***-**-5896","Vermont"
"552","Jaclyn Wall","13/12/1985","***-**-5336","South Dakota"
"338","Kaitlyn Roy","15/06/1965","***-**-0939","Minnesota"
"513","Allison Lee","04/04/1994","***-**-8932","Utah"
"231","Heather Patterson","08/06/1969","***-**-2886","West Virginia"
"443","Carrie Thomas","08/08/1980","***-**-8236","Massachusetts"
"140","David Gutierrez","14/08/1967","***-**-9234","Nebraska"
"96","Harold Robinson","20/08/1965","***-**-7098","New Mexico"
"531","Alex Graham","27/11/1978","***-**-6911","Kentucky"
"403","Steven Thompson","01/01/1978","***-**-0637","New Jersey"
"580","Barbara Martin","11/11/1971","***-**-5120","Nebraska"
"113","Theresa Cochran","23/02/1976","***-**-2404","Iowa"
"289","Michael Madden","05/09/1964","***-**-2946","Colorado"
"247","Brian Chase","01/05/1989","***-**-3628","Arizona"
"472","Carolyn Rodriguez","16/11/1962","***-**-2185","Rhode Island"
"582","Breanna Williams","03/06/1994","***-**-8593","North Carolina"
"265","Anne Cook","11/11/1981","***-**-8560","New York"
"281","Tara Bowers","22/09/1975","***-**-7048","New York"
"330","Joyce Hall","10/10/1980","***-**-4819","Virginia"
"372","Sydney George","24/01/1959","***-**-8264","Florida"
"628","Lindsay Williams","19/09/1977","***-**-4792","Nevada"
"445","Darrell Thomas","14/03/1986","***-**-2653","Utah"
"316","Thomas Knight","07/08/1965","***-**-2441","New Jersey"
"499","Carolyn Diaz","20/04/1991","***-**-2117","Delaware"
"528","Karen Ball","13/04/1986","***-**-9411","North Dakota"
"242","Ronald Richardson","20/04/1988","***-**-6742","Georgia"
"632","Donna Williams","01/09/1986","***-**-3144","Mississippi"
"313","Molly Wright","23/02/1991","***-**-7938","Washington"
"89","Jeffrey Mcintyre","02/06/1974","***-**-8359","Kansas"
"130","Tabitha Parks","19/01/1975","***-**-8386","Iowa"
"3","Melissa Padilla","08/12/1982","***-**-9382","Montana"
"586","George Harris","15/11/1979","***-**-2111","Arizona"
"355","Cheryl Hancock","03/09/1993","***-**-2522","Idaho"
"532","Jeffrey Paul","12/01/1972","***-**-0457","Montana"
"326","Wendy Jones","20/04/1979","***-**-4078","New York"
"225","Elizabeth Johnson","01/12/1981","***-**-8375","Arkansas"
"191","Charles Green","22/05/1990","***-**-9288","South Carolina"
"444","Jeffrey Cooper","14/12/1970","***-**-7671","Maryland"
"490","Judith Brooks","25/01/1971","***-**-6779","Indiana"
"609","Amanda Ramsey","10/04/1971","***-**-2683","South Carolina"
"47","Stephen Oliver","27/12/1984","***-**-5500","California"
"508","Nancy Rodriguez","13/02/1988","***-**-1027","Maryland"
"388","Joshua Powers","13/05/1971","***-**-4897","Florida"
"331","Lisa Stein","07/02/1980","***-**-2075","California"
"264","Jessica Martin","18/08/1967","***-**-8568","Nevada"
"589","George Hardy","17/04/1990","***-**-4162","New Mexico"
"278","Jonathan Carney","08/11/1990","***-**-0506","Colorado"
"526","Carol Robertson","01/02/1959","***-**-6248","Illinois"
"205","Susan Zhang","18/03/1983","***-**-5874","Connecticut"
"199","Christopher Cameron","30/08/1969","***-**-1053","New York"
"550","Paul Ramsey","14/05/1990","***-**-6565","Maryland"
"103","David Torres","26/03/1971","***-**-5176","Mississippi"
"465","Barbara Roberts","22/10/1993","***-**-9440","Kansas"
"348","Nicholas Dunn","22/05/1985","***-**-1196","Maryland"
"158","John Long","09/10/1966","***-**-8394","Nebraska"
"361","Shelby Porter","09/01/1992","***-**-7391","Maine"
"610","Judith Robinson","29/08/1973","***-**-3792","Florida"
"235","Justin Holt","19/09/1969","***-**-2854","Wyoming"
"442","Laura Valdez","14/09/1988","***-**-2068","Illinois"
"215","Jesse Rosales","29/12/1989","***-**-0642","West Virginia"
"17","Amy Duran","02/04/1992","***-**-5581","Minnesota"
"363","Joshua Williams","06/11/1976","***-**-1375","Indiana"
"438","Robert Davis","28/03/1986","***-**-0776","Nebraska"
"111","Lisa Houston","27/06/1966","***-**-5946","Ohio"
"396","Timothy Williams","27/11/1978","***-**-5842","Illinois"
"255","Kim Finley","09/03/1973","***-**-6351","South Carolina"
"226","Andrew Lopez","11/06/1962","***-**-7248","Tennessee"
"652","Veronica Herrera","22/10/1958","***-**-4723","Iowa"
"64","Bob Murphy","14/01/1982","***-**-8100","South Dakota"
"415","Timothy Duncan","25/09/1977","***-**-7493","Indiana"
"354","David Sandoval","26/11/1985","***-**-6963","West Virginia"
"517","Tony Graves","19/10/1980","***-**-5360","Idaho"
"292","Andrea Fuller","17/07/1981","***-**-0698","Washington"
"579","William Carney","16/06/1974","***-**-3440","Wyoming"
"181","Daniel Dominguez","15/11/1992","***-**-9595","Kentucky"
"556","David Franco","30/10/1983","***-**-2451","New York"
"351","Justin Ortiz","29/01/1961","***-**-6761","Alaska"
"405","Sara Jarvis","23/07/1964","***-**-3953","West Virginia"
"647","Adam Green","09/05/1988","***-**-5674","Tennessee"
"646","Debra Flores","02/04/1969","***-**-7111","Kansas"
"79","Jennifer Adams","04/12/1988","***-**-1210","Rhode Island"
"371","Lori Sosa","14/06/1988","***-**-7062","Michigan"
"542","Cory Mora","27/03/1985","***-**-0325","Nevada"
"261","Denise Hughes","20/09/1966","***-**-7879","Utah"
"368","Anthony Jenkins","05/09/1957","***-**-0437","Massachusetts"
"439","Leonard Soto","17/10/1986","***-**-1991","Nebraska"
"82","Donald Todd","16/07/1960","***-**-6930","Michigan"
"431","Christopher Long","24/08/1979","***-**-2737","Vermont"
"155","Donald Pierce","27/02/1976","***-**-1562","New Jersey"
"189","Matthew Sullivan","25/02/1986","***-**-6697","Mississippi"
"393","Brianna Stevens","11/06/1965","***-**-4666","Montana"
"451","Jacqueline Villegas","13/02/1981","***-**-8948","South Carolina"
"22","Mary Diaz","18/02/1964","***-**-8701","Georgia"
"470","Steven Taylor","01/12/1985","***-**-1803","New Hampshire"
"384","Edward Jimenez","19/08/1980","***-**-1355","Kentucky"
"7","John Joseph","07/01/1992","***-**-0413","Pennsylvania"
"258","Jared Fletcher","16/07/1977","***-**-9304","Vermont"
"568","Kathleen Hill","04/02/1970","***-**-3356","New Hampshire"
"56","Johnny Warner","16/08/1965","***-**-4164","New Hampshire"
"621","Frank Smith","08/02/1971","***-**-1100","Illinois"
"49","Stephanie Thompson","26/03/1957","***-**-6249","Rhode Island"
"397","Angela Cannon","13/09/1992","***-**-3459","Kansas"
"36","Trevor Robinson","26/04/1967","***-**-3462","West Virginia"
"33","Gregory Powers","19/05/1969","***-**-8879","Kansas"
"224","Michael Sparks","03/11/1982","***-**-6809","North Carolina"
"634","George Flores","31/01/1989","***-**-0195","Iowa"
"144","Michael Hall","22/01/1986","***-**-0161","Arizona"
"491","Susan Williamson","27/05/1973","***-**-0355","Indiana"
"309","Luis Norton","11/05/1988","***-**-6955","Wisconsin"
"211","Victoria Pearson","07/03/1990","***-**-5518","North Dakota"
"475","Roger Nichols","13/01/1976","***-**-4515","Oregon"
"493","Jenny Mills","10/11/1983","***-**-1434","Wisconsin"
"128","Joshua Moore","30/09/1965","***-**-8369","Pennsylvania"
"262","James Carr","25/02/1979","***-**-8546","Alabama"
"597","David Lane","21/04/1974","***-**-4614","Minnesota"
"325","Beth Reese","30/04/1961","***-**-1223","Pennsylvania"
"573","Lindsay Thompson","24/09/1986","***-**-1306","Kansas"
"55","Amber Taylor","27/04/1982","***-**-6610","New York"
"132","Oscar Yates","03/04/1977","***-**-0620","Illinois"
"401","Anthony Cooper","04/06/1994","***-**-2490","California"
"483","Tracie Harrison","01/07/1983","***-**-7833","Delaware"
"424","Corey Herrera","08/11/1970","***-**-3228","Oregon"
"188","Anthony Kim","04/11/1981","***-**-7043","Wyoming"
"272","Kendra Marshall","11/09/1967","***-**-2658","Indiana"
"545","Debbie Chang","17/02/1993","***-**-8022","Pennsylvania"
"193","Miranda Simmons","27/03/1964","***-**-2359","Illinois"
"593","Catherine Murphy","11/08/1968","***-**-6401","Rhode Island"
"463","Nicholas Shelton","07/06/1984","***-**-0704","Georgia"
"334","Laura Winters","05/07/1969","***-**-4775","Georgia"
"596","Jill Barr","07/04/1983","***-**-7889","Minnesota"
"373","Lauren Ritter","26/12/1970","***-**-7600","Kansas"
"635","Anthony Short","07/06/1986","***-**-6004","Wyoming"
"315","Patrick Yates","07/05/1967","***-**-4036","North Carolina"
"120","Brett Mitchell","20/01/1976","***-**-8337","Wisconsin"
"110","Andrea Boone","05/02/1983","***-**-1089","Colorado"
"68","Charles Alvarez","01/02/1993","***-**-5142","Montana"
"14","Jeff Garner","21/12/1978","***-**-2191","Massachusetts"
"200","Natalie Williams","14/06/1971","***-**-2753","Massachusetts"
"62","Tracy King","17/11/1969","***-**-0822","North Carolina"
"263","Michael Huang","14/02/1990","***-**-6162","South Carolina"
"257","Ray Miller","09/03/1968","***-**-5774","California"
"61","Tracey Powers","28/04/1976","***-**-5107","Wyoming"
"107","Alexander Moore","05/07/1992","***-**-4136","Hawaii"
"322","Lisa Fisher","05/01/1977","***-**-4670","New Mexico"
"2","Tamara Gentry","03/04/1987","***-**-7430","South Carolina"
"81","Christopher Fitzgerald","19/04/1992","***-**-7096","Massachusetts"
"337","Jose Olson","20/01/1991","***-**-7256","Pennsylvania"
"93","Carrie Wallace","07/02/1966","***-**-8007","Georgia"
"366","Crystal Smith","30/04/1991","***-**-6884","New York"
"287","Caroline Edwards","20/10/1959","***-**-7816","Nevada"
"66","Carol Baker","01/08/1959","***-**-8196","Oregon"
"243","Alexandra Ward","27/12/1973","***-**-3414","Arkansas"
"603","Krystal Townsend","15/05/1990","***-**-6839","Arizona"
"277","Melanie Elliott","21/06/1976","***-**-2869","Minnesota"
"583","Tracey Barajas","09/01/1973","***-**-9722","Arkansas"
"268","Eric Barker","09/12/1976","***-**-2136","Georgia"
"234","Olivia Elliott","15/09/1991","***-**-7631","New Mexico"
"320","Daniel Reed","24/12/1969","***-**-3333","New Jersey"
"461","Roberto Pierce","03/07/1964","***-**-9982","Missouri"
"232","Lawrence Stewart","15/06/1987","***-**-1303","Missouri"
"13","Michael Snow","17/02/1965","***-**-2820","Kansas"
"108","Ashley Cruz","09/09/1973","***-**-3168","Massachusetts"
"216","Jesus Hobbs","10/12/1975","***-**-2648","Mississippi"
"304","Jody Riley","08/01/1978","***-**-6681","Connecticut"
"94","Joseph Scott","23/11/1993","***-**-4445","Maryland"
"171","Eric Sullivan","05/01/1993","***-**-8141","South Carolina"
"466","Christopher Cervantes","09/11/1975","***-**-7919","Vermont"
"498","Jennifer Leon","03/02/1959","***-**-2413","Arkansas"
"180","Victor Fuentes","07/12/1957","***-**-5844","Washington"
"9","Christine Marshall","05/12/1972","***-**-6538","Alabama"
"170","Amanda Garcia","03/12/1961","***-**-1013","New Jersey"
"172","Nancy Holloway","13/03/1983","***-**-4965","Alaska"
"46","Kimberly Banks","03/07/1990","***-**-7861","Arizona"
"576","Laura King","04/06/1971","***-**-5040","Arizona"
"11","Robert Mendoza","23/04/1982","***-**-0627","Iowa"
"80","Jessica Black","11/12/1981","***-**-6296","Kentucky"
"77","Cynthia Duffy","08/07/1990","***-**-0500","North Carolina"
"555","Aaron Henry","15/10/1978","***-**-3379","Michigan"
"95","Autumn Peterson","02/01/1965","***-**-9763","Oklahoma"
"595","Danielle Murphy","15/08/1963","***-**-0413","Texas"
"543","Deborah Hoffman","20/10/1986","***-**-9690","Montana"
"227","Kathy Palmer","19/07/1972","***-**-3934","Arkansas"
"572","Tim Smith","22/04/1967","***-**-8047","North Carolina"
"387","Renee Campbell","09/11/1970","***-**-2594","Missouri"
"380","Bryan Mcdaniel","19/04/1959","***-**-4659","Florida"
"203","Rhonda Flores","13/12/1974","***-**-3754","West Virginia"
"636","Jonathan Wright","17/06/1963","***-**-8490","Missouri"
"256","Sydney King","12/01/1977","***-**-5923","Florida"
"85","Janet Gonzales","08/12/1972","***-**-0243","Utah"
"520","Steve Russell","19/08/1978","***-**-9820","Washington"
"233","Craig Pennington","25/12/1957","***-**-8248","North Dakota"
"410","Andrew Thomas","11/04/1963","***-**-7838","Massachusetts"
"485","Miguel Woods","10/06/1992","***-**-1852","Maine"
"630","Samuel Anderson","02/03/1969","***-**-9480","South Carolina"
"295","Cynthia Clarke","29/05/1962","***-**-8148","Massachusetts"
"487","Adam Mcgrath","20/06/1960","***-**-3185","Alaska"
"616","Courtney Oconnell","03/04/1984","***-**-3672","South Dakota"
"435","Brandon Hudson","07/08/1966","***-**-4780","Illinois"
"349","Rachel Lewis","06/02/1985","***-**-5213","Georgia"
"557","Manuel Rodriguez","07/03/1981","***-**-0042","Washington"
"425","Gregory Wilkinson","23/08/1984","***-**-6395","North Carolina"
"273","Donna Lopez","03/08/1962","***-**-6360","New Hampshire"
"69","David Scott","10/03/1992","***-**-0749","Mississippi"
"571","Gregory Maxwell","21/11/1977","***-**-7057","Nevada"
"169","Daniel Wilkins","24/09/1975","***-**-4870","Mississippi"
"495","Jonathan Henry","08/06/1989","***-**-2026","Montana"
"350","Heather Shepherd","17/09/1984","***-**-2527","Washington"
"395","Cindy Munoz","30/10/1986","***-**-0435","New Hampshire"
"75","Dalton Bowman","24/12/1977","***-**-8792","Maine"
"244","Jon Clark","18/06/1967","***-**-8771","Tennessee"
"509","Amber Meyer","04/09/1983","***-**-5604","Louisiana"
"339","Steven Madden","18/06/1972","***-**-9767","Indiana"
"534","Victoria Lewis","04/01/1971","***-**-6283","Washington"
"419","Karl Dudley","14/12/1974","***-**-6649","Texas"
"386","Alicia Stone","24/12/1966","***-**-8324","Colorado"
"328","Max Mckay","17/08/1960","***-**-4918","South Carolina"
"612","Richard Brown","30/06/1979","***-**-0117","Montana"
"502","Heather Case","22/12/1971","***-**-1698","Arkansas"
"390","Amy Gonzalez","12/10/1965","***-**-2150","Utah"
"404","Brandon Armstrong","12/12/1973","***-**-5658","Arizona"
"159","Terrance Ewing","15/01/1981","***-**-5340","Virginia"
"115","Jessica Boyd","27/04/1960","***-**-9784","Virginia"
"422","Corey Taylor","09/03/1966","***-**-4578","Mississippi"
"250","Frank Blankenship","17/11/1958","***-**-3591","Mississippi"
"638","Monica Montgomery","14/10/1975","***-**-3158","Mississippi"
"414","Tammy Patrick","07/09/1961","***-**-7381","New Mexico"
"127","Corey Sawyer","13/08/1982","***-**-9114","Delaware"
"440","Linda Anthony","23/01/1994","***-**-7298","South Dakota"
"594","Travis Patrick","12/10/1967","***-**-7968","Tennessee"
"114","Linda Davis","08/08/1975","***-**-0620","Connecticut"
"109","Anthony Adams","09/02/1962","***-**-1396","Vermont"
"515","Christopher Johnson","03/11/1959","***-**-5547","Connecticut"
"31","Tracy Austin","06/08/1980","***-**-1904","Rhode Island"
"605","Matthew Woodward","26/03/1978","***-**-6667","Idaho"
"421","Donna Cole","19/01/1973","***-**-3401","New York"
"536","Alexis Allen","11/08/1963","***-**-6449","Tennessee"
"267","Stephen Parker","18/03/1967","***-**-9288","Colorado"
"210","Nicole Johnson","01/05/1963","***-**-0265","Pennsylvania"
"560","Daniel Green","16/06/1976","***-**-7915","Alaska"
"302","Dylan Adams","16/04/1966","***-**-4597","Colorado"
"640","Jason Davis","06/06/1970","***-**-5627","Louisiana"
"449","Jennifer Conrad","08/10/1973","***-**-2874","Wyoming"
"202","Stephen Dawson","30/06/1985","***-**-5741","Arizona"
"168","Douglas Smith","07/04/1981","***-**-9028","Massachusetts"
"119","Diane Gray","26/10/1968","***-**-1654","Hawaii"
"613","Benjamin Gordon","26/07/1974","***-**-3940","Colorado"
"473","Stephanie Miller","08/09/1983","***-**-8885","Louisiana"
"615","Lynn Stout","17/09/1973","***-**-6531","Maine"
"10","Malik Scott","02/02/1958","***-**-4261","Idaho"
"86","David Brown","28/07/1973","***-**-5706","Oklahoma"
"500","Nathan Jenkins","11/01/1968","***-**-6468","Wisconsin"
"38","Maria Bryant","17/07/1970","***-**-3505","Massachusetts"
"633","Michael Griffin","15/09/1963","***-**-4120","Washington"
"530","Nathan Smith","17/04/1979","***-**-9334","California"
"177","James Jackson","01/06/1958","***-**-4595","California"
"266","Erika Jones","02/02/1977","***-**-1552","Alabama"
"4","Stephanie Leon","06/04/1967","***-**-0580","Delaware"
"12","Anthony Walker","25/12/1969","***-**-5284","Rhode Island"
"477","Richard Brooks","17/10/1962","***-**-5295","Kentucky"
"575","Matthew Bishop","10/06/1973","***-**-9588","New Jersey"
"37","Anthony Thompson","04/10/1990","***-**-1051","Massachusetts"
"360","Justin Garcia","21/09/1961","***-**-6120","North Carolina"
"134","Miguel Garcia","21/12/1964","***-**-5477","Ohio"
"416","Jeffrey Randolph","24/09/1976","***-**-2699","Indiana"
"45","Raymond Tran","09/04/1957","***-**-8575","Florida"
"441","Brandon Webb","10/09/1966","***-**-8353","Utah"
"323","Brandon Petersen","06/07/1982","***-**-1657","Tennessee"
"58","Bryce Ball","03/07/1994","***-**-1674","Arizona"
